2021-01-05	test	4	콜라 1L	1	3000
2021-01-05	test	4	콜라 1L	1	3000
2021-01-05	test	4	콜라 1L	2	6000
2021-02-01	ppp	5	감자튀김	2	10000
2021-02-09	ppp	2	양념 치킨	1	22000
2021-02-16	ppp	4	콜라 1L	3	9000
2021-02-23	ppp	4	콜라 1L	1	3000
2021-04-01	ppp	4	콜라 1L	1	3000
2021-04-08	ppp	4	콜라 1L	3	9000
2022-01-01	ppp	4	콜라 1L	1	3000
2022-01-08	ppp	4	콜라 1L	3	9000
2022-02-01	ppp	4	콜라 1L	1	3000
2022-02-01	ppp	4	콜라 1L	1	3000
2022-02-01	ppp	4	콜라 1L	3	9000
2022-02-08	ppp	1	후라이드 치킨	1	20000
2022-03-01	ppp	1	후라이드 치킨	1	20000
2022-03-07	ppp	1	후라이드 치킨	1	20000
2022-03-07	ppp	1	후라이드 치킨	1	20000
2022-03-09	ppp	5	감자튀김	2	10000
2022-03-10	ppp	4	콜라 1L	4	12000
2022-03-10	ppp	1	후라이드 치킨	1	20000
2022-03-10	ppp	1	후라이드 치킨	1	20000
2022-03-10	ppp	1	후라이드 치킨	1	20000
2022-03-10	ppp	1	후라이드 치킨	1	20000
2022-03-10	ppp	4	콜라 1L	3	9000
2022-03-10	ppp	4	콜라 1L	1	3000
